,date,week_day,month,daily_income,unique_visitors
346,2019-06-05,2,6,1600.0,6
347,2019-06-06,3,6,2500.0,7
348,2019-06-07,4,6,2100.0,9
349,2019-06-08,5,6,2320.0,4
350,2019-06-09,6,6,2870.0,7
351,2019-06-10,0,6,750.0,5
352,2019-06-11,1,6,3500.0,10
353,2019-06-12,2,6,3500.0,7
354,2019-06-13,3,6,930.0,6
355,2019-06-14,4,6,2650.0,7
356,2019-06-15,5,6,3960.0,11
357,2019-06-16,6,6,0.0,3
358,2019-06-17,0,6,1800.0,6
359,2019-06-18,1,6,1850.0,6
360,2019-06-19,2,6,1170.0,5
361,2019-06-20,3,6,1000.0,3
362,2019-06-21,4,6,3150.0,10
363,2019-06-22,5,6,5050.0,12
364,2019-06-23,6,6,1300.0,6
365,2019-06-24,0,6,2540.0,5
366,2019-06-25,1,6,2140.0,9
367,2019-06-26,2,6,1000.0,6
368,2019-06-27,3,6,4710.0,9
369,2019-06-28,4,6,3800.0,11
370,2019-06-29,5,6,2250.0,8
371,2019-06-30,6,6,3500.0,10
372,2019-07-01,0,7,0.0,4
373,2019-07-02,1,7,1400.0,9
374,2019-07-03,2,7,1800.0,9
375,2019-07-04,3,7,1350.0,7
376,2019-07-05,4,7,3000.0,10
377,2019-07-06,5,7,2500.0,7
378,2019-07-07,6,7,1350.0,8
379,2019-07-08,0,7,500.0,3
380,2019-07-09,1,7,3570.0,9
381,2019-07-10,2,7,1400.0,5
382,2019-07-11,3,7,3150.0,7
383,2019-07-12,4,7,2600.0,8
384,2019-07-13,5,7,550.0,3
385,2019-07-14,6,7,2400.0,3
386,2019-07-15,0,7,1650.0,7
387,2019-07-16,1,7,950.0,4
388,2019-07-17,2,7,1960.0,9
389,2019-07-18,3,7,1750.0,6
390,2019-07-19,4,7,3550.0,8
391,2019-07-20,5,7,660.0,3
392,2019-07-21,6,7,2100.0,8
393,2019-07-22,0,7,1650.0,5
394,2019-07-23,1,7,1050.0,4
395,2019-07-24,2,7,850.0,3
396,2019-07-25,3,7,1100.0,7
397,2019-07-26,4,7,2200.0,5
398,2019-07-27,5,7,2250.0,8
399,2019-07-28,6,7,2170.0,7
400,2019-07-29,0,7,1800.0,6
401,2019-07-30,1,7,3400.0,10
402,2019-07-31,2,7,1550.0,8
403,2019-08-01,3,8,1250.0,6
404,2019-08-02,4,8,4400.0,8
405,2019-08-03,5,8,800.0,5
406,2019-08-04,6,8,4040.0,9
407,2019-08-05,0,8,2450.0,9
408,2019-08-06,1,8,2210.0,7
409,2019-08-07,2,8,1150.0,5
410,2019-08-08,3,8,1800.0,6
411,2019-08-09,4,8,1360.0,7
412,2019-08-10,5,8,2120.0,7
413,2019-08-11,6,8,750.0,4
414,2019-08-12,0,8,0.0,2
415,2019-08-13,1,8,170.0,1
416,2019-08-14,2,8,2370.0,5
417,2019-08-15,3,8,450.0,3
418,2019-08-16,4,8,2000.0,8
419,2019-08-17,5,8,850.0,6
420,2019-08-18,6,8,3400.0,8
421,2019-08-19,0,8,1600.0,6
422,2019-08-20,1,8,700.0,4
423,2019-08-21,2,8,800.0,3
424,2019-08-22,3,8,150.0,2
425,2019-08-23,4,8,920.0,6
426,2019-08-24,5,8,800.0,3
427,2019-08-25,6,8,1150.0,5
428,2019-08-26,0,8,300.0,2
429,2019-08-27,1,8,0.0,1
430,2019-08-28,2,8,2570.0,6
431,2019-08-29,3,8,1150.0,4
432,2019-08-30,4,8,2700.0,5
433,2019-08-31,5,8,1250.0,9
434,2019-09-01,6,9,2550.0,6
435,2019-09-02,0,9,700.0,5
436,2019-09-03,1,9,1050.0,6
437,2019-09-04,2,9,1400.0,5
438,2019-09-05,3,9,1500.0,4
439,2019-09-06,4,9,900.0,3
440,2019-09-07,5,9,5410.0,13
441,2019-09-08,6,9,1300.0,6
442,2019-09-09,0,9,750.0,4
443,2019-09-10,1,9,1600.0,5
444,2019-09-11,2,9,750.0,2
445,2019-09-12,3,9,650.0,4
446,2019-09-13,4,9,1920.0,5
447,2019-09-14,5,9,3450.0,10
448,2019-09-15,6,9,1200.0,4
449,2019-09-16,0,9,1500.0,7
450,2019-09-17,1,9,800.0,5
451,2019-09-18,2,9,1650.0,7
452,2019-09-19,3,9,1660.0,4
453,2019-09-20,4,9,1000.0,3
454,2019-09-21,5,9,2380.0,6
455,2019-09-22,6,9,2200.0,6
456,2019-09-23,0,9,0.0,1
457,2019-09-24,1,9,400.0,2
458,2019-09-25,2,9,2300.0,2
459,2019-09-26,3,9,200.0,3
460,2019-09-27,4,9,5050.0,11
461,2019-09-28,5,9,2710.0,9
462,2019-09-29,6,9,7760.0,15
463,2019-09-30,0,9,1200.0,4
464,2019-10-01,1,10,400.0,3
465,2019-10-02,2,10,1460.0,2
466,2019-10-03,3,10,3080.0,1
467,2019-10-04,4,10,1970.0,10
468,2019-10-05,5,10,4500.0,14
469,2019-10-06,6,10,2350.0,8
470,2019-10-07,0,10,2960.0,6
471,2019-10-08,1,10,560.0,3
472,2019-10-09,2,10,1960.0,5
473,2019-10-10,3,10,1980.0,5
474,2019-10-11,4,10,2300.0,6
475,2019-10-12,5,10,4760.0,9
476,2019-10-13,6,10,800.0,5
477,2019-10-14,0,10,1790.0,5
478,2019-10-15,1,10,800.0,3
479,2019-10-16,2,10,300.0,2
480,2019-10-17,3,10,0.0,2
481,2019-10-18,4,10,5200.0,7
482,2019-10-19,5,10,2050.0,5
483,2019-10-20,6,10,670.0,5
484,2019-10-21,0,10,1900.0,4
485,2019-10-22,1,10,2650.0,9
486,2019-10-23,2,10,2250.0,9
487,2019-10-24,3,10,400.0,3
488,2019-10-25,4,10,6170.0,11
489,2019-10-26,5,10,3050.0,5
490,2019-10-27,6,10,3520.0,9
491,2019-10-28,0,10,650.0,4
492,2019-10-29,1,10,600.0,3
493,2019-10-30,2,10,1550.0,6
494,2019-10-31,3,10,600.0,4
495,2019-11-01,4,11,800.0,4
496,2019-11-02,5,11,3550.0,11
497,2019-11-03,6,11,2660.0,6
498,2019-11-04,0,11,5140.0,9
499,2019-11-05,1,11,400.0,2
500,2019-11-06,2,11,300.0,3
501,2019-11-07,3,11,1880.0,5
502,2019-11-08,4,11,4220.0,6
503,2019-11-09,5,11,3670.0,6
504,2019-11-10,6,11,2750.0,8
